,Product_Name,Product_Brand,Product_Price,Product_Link
30,Lukas Western boots,Saint Laurent,"$1,590",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
31,Diamond low-top sneakers,Jimmy Choo,$695,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
32,Giggies low-top sneakers,Valentino Garavani,$768,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
33,Performa low-top sneakers,Rick Owens DRKSHDW,$799,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
34,"x Union Air Jordan 4 SP ""Off-Noir"" sneakers",Jordan,"$1,231",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
35,Giggies Lovers Language low-top sneakers ,Valentino Garavani,$727,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
36,Godzilla low-top chunky sneakers,Philipp Plein,$765,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
37,"Yeezy Boost 380 ""Blue Oat"" sneakers",adidas,$492,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
38,Cole zipped ankle boots ,Saint Laurent,"$1,430",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
39,Turing studded ankle boots,Jimmy Choo,"$1,425",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
40,buckled ankle boots,Scarosso,$423,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
41,metallic toe cap boots,Givenchy,"$1,965",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
42,Antei low-top sneakers,Raf Simons,$623,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
43,"x Union Air Jordan 4 SP ""Guava Ice"" sneakers",Jordan,"$1,835",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
44,Strand-180 low-top sneakers,A-COLD-WALL*,$511,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
45,Phantom Kick$ high-top sneakers ,Philipp Plein,"$2,413",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
46,Money Beast high-top sneakers,Philipp Plein,"$8,399",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
47,Triple S sneakers,Balenciaga,"$1,030",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
48,Attack low-top sneakers,MSGM,$399,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
49,x Reebok Instapump Fury sneakers ,Vetements,$970,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
50,Volcano debossed text loafers,Martine Rose,$771,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
51,Condor leather loafers,Salvatore Ferragamo,"$1,039",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
52,leather loafers,Tod's,$783,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
53,Tabi slip-on loafers,Maison Margiela,"$1,087",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
54,black B-Runner mesh and nylon sneakers,Balmain,$645,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
55,Trpx Mondial Gomme sneakers,Philippe Model Paris,$439,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
56,Out Of Office low-top sneakers,Off-White,$623,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
57,denim Phantom Kick$ sneakers,Philipp Plein,"$1,410",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
58,Boost 380 Pepper sneakers,adidas YEEZY,$328,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
59,Phanton Kicks lace-up sneakers,Philipp Plein,$796,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
60,Talon sneakers,Giuseppe Zanotti,"$1,039",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
61,Track.2 Open sneakers,Balenciaga,$895,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
62,chunky western boots,Dsquared2,"$1,490",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
63,Comfort Craftsman Chelsea boots,R.M.Williams,$612,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
64,buckle ankle boots,AMIRI,"$1,885",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
65,Tread leather Chelsea boots ,Alexander McQueen,"$1,102",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
66,Temple Veau low-top sneakers,Philippe Model Paris,$471,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
67,Out of Office sneakers,Off-White,$833,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
68,Basketball high-top sneakers,Maison Margiela,"$1,283",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
69,BV Level loafers,Bottega Veneta,"$1,039",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
70,Comporta hook loafers,Edhen Milano,$764,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
71,Tabi toe loafers,Maison Margiela,"$1,001",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
72,tasseled loafers,Magnanni,$493,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
73,"Air Jordan 1 High OG ""Bio Hack"" sneakers",Jordan,$446,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
74,Air Force 1 Gore-Tex sneakers,Nike,$268,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
75,Out Of Office low-top sneakers,Off-White,$833,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
76,"Air Jordan 1 Mid ""Royal Blue/Laser Orange"" sneakers",Jordan,$283,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
77,Yeezy Boost 350 V2 sneakers,adidas YEEZY,$582,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
78,C-Run 3000 sneakers,Marcelo Burlon County of Milan,$543,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
79,metal appliqué Oxford shoes,Neil Barrett,$638,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
80,crocodile embossed Oxford shoes,Magnanni,$520,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
81,Original loafers,Philipp Plein,"$1,223",https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
82,lace-up shoes,Henderson Baracco,$631,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
83,panelled high-top sneakers,Maison Margiela,$933,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
84,"Yeezy Boost 700 MNVN ""Bone"" sneakers",adidas YEEZY,$768,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
85,"Air Jordan 1 Mid ""Oakland"" sneakers",Jordan,$261,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
86,high top leather-trimmed sneakers,AMI Paris,$439,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
87,Oversized sole sneakers,Alexander McQueen,$646,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
88,Oversized leather sneakers,Alexander McQueen,$646,https://www.farfetch.com/in/shopping/men/shoes-2/items.aspx/in/shopping/men/alexander-mcqueen-oversized-leather-sneakers-item-15559701.aspx?storeid=10952
