,Product_Name,Product_Price,Product_Link
18,Triple Stack T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
19,Jack's Piqué Melange T-Shirt,"29,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
20,Jack's Utility T-Shirt,"25,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
21,O'N Capital T-Shirt,"25,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
22,O'N Capital T-Shirt,"25,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
23,Triple Stack T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
24,Triple Stack T-Shirt,"22,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
25,Jack's Utility T-Shirt,"25,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
26,Jack's Piqué Melange T-Shirt,"29,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
27,Jack's Utility T-Shirt,"25,99 €",https://www.oneill.com/fr/fr/t-shirts?cgid=men-tees&prefn1=published&prefv1=true&prefn2=seasons&prefv2=NOS%7c182%7c185%7c190%7c180%7c192%7c195%7c175%7c200%7c205%7c202&start=0&sz=62/fr/fr/slub-jersey-short-sleeve-tee/0P3756-2059-L.html
