,Product_Name,Product_Brand,Product_Price,Product_Link
0,RIPNDIP Psychedelic 150 2021 Snowboard,RIPNDIP Psychedelic 150 2021 Snowboard,"€ 349,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
1,Burton Step On 2020 Snowboardbindung,Burton Step On 2020 Snowboardbindung,"€ 279,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
2,Ride Lasso 2021 Snowboardboots,Ride Lasso 2021 Snowboardboots,"€ 319,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
3,RIPNDIP Psychedelic 154 2021 Snowboard,RIPNDIP Psychedelic 154 2021 Snowboard,"€ 349,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
4,Anon Greta 3 Helm,Anon Greta 3 Helm,"€ 79,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
5,Roxy Feelin Oxblood Red Leopold Goggle,Roxy Feelin Oxblood Red Leopold Goggle,"€ 129,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
6,Vans Hi-Standard OG 2021 Snowboardboots,Vans Hi-Standard OG 2021 Snowboardboots,"€ 229,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
7,Lib Tech Travis Rice Orca 153 2021 Snowboard,Lib Tech Travis Rice Orca 153 2021 Snowboard,"€ 649,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
8,RIPNDIP Psychedelic 158W 2021 Snowboard,RIPNDIP Psychedelic 158W 2021 Snowboard,"€ 349,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
9,Vans Infuse 2021 Snowboardboots,Vans Infuse 2021 Snowboardboots,"€ 409,95",https://www.blue-tomato.com/de-DE/products/categories/Snowboard+Shop-00000000/gender/boys--girls--men--women//de-DE/product/Union-DLX+2021+Snowboardbindung-621730/
